1,4,inf
2,4,0.123144
4,4,0.100495
8,3,0.247855
16,3.25,0.239699
32,3.375,0.230775
64,3.1875,0.236704
128,3.21875,0.223604
256,3.09375,0.214189
512,3.14062,0.204786
1024,3.08594,0.196284
2048,3.12109,0.190881
4096,3.10352,0.188517
8192,3.09961,0.186299
16384,3.13721,0.183861
32768,3.13525,0.181516
65536,3.1438,0.179776
131072,3.14246,0.178627
262144,3.14346,0.178264
524288,3.14333,0.177947
1.04858e+06,3.14236,0.177565
2.09715e+06,3.14255,0.177048
4.1943e+06,3.14237,0.175722
8.38861e+06,3.14215,0.172184
1.67772e+07,3.14198,0.164345
