estimate,iter_num,error
inf,0,inf
3.1415926535897345,1,5.8619775700208265e-14
3.1415926535897638,2,2.9309887850104133e-14
3.1415926535897638,3,2.9309887850104133e-14
3.1415926535897638,4,2.9309887850104133e-14
3.1415926535897638,5,2.9309887850104133e-14
3.1415926535897638,6,2.9309887850104133e-14
3.1415926535897638,7,2.9309887850104133e-14
3.1415926535897638,8,2.9309887850104133e-14
3.1415926535897638,9,2.9309887850104133e-14
3.1415926535897638,10,2.9309887850104133e-14
3.1415926535897638,11,2.9309887850104133e-14
3.1415926535897638,12,2.9309887850104133e-14
3.1415926535897638,13,2.9309887850104133e-14
3.1415926535897638,14,2.9309887850104133e-14
3.1415926535897638,15,2.9309887850104133e-14
3.1415926535897638,16,2.9309887850104133e-14
3.1415926535897638,17,2.9309887850104133e-14
3.1415926535897638,18,2.9309887850104133e-14
3.1415926535897638,19,2.9309887850104133e-14
3.1415926535897638,20,2.9309887850104133e-14
3.1415926535897638,21,2.9309887850104133e-14
3.1415926535897638,22,2.9309887850104133e-14
3.1415926535897638,23,2.9309887850104133e-14
3.1415926535897638,24,2.9309887850104133e-14
3.1415926535897638,25,2.9309887850104133e-14
3.1415926535897638,26,2.9309887850104133e-14
3.1415926535897638,27,2.9309887850104133e-14
3.1415926535897638,28,2.9309887850104133e-14
nan,29,nan
