estimate,stop_error,count,error
2.8421787023544312,1,1,0.29941395123536196
3.1409439295530319,0.10000000000000001,8,0.00064872403676119461
3.1409439295530319,0.010000000000000002,8,0.00064872403676119461
3.1409439295530319,0.0010000000000000002,8,0.00064872403676119461
3.1409439295530319,0.00010000000000000002,8,0.00064872403676119461
3.1409439295530319,1.0000000000000003e-05,8,0.00064872403676119461
3.1409439295530319,1.0000000000000004e-06,8,0.00064872403676119461
3.1409439295530319,1.0000000000000004e-07,8,0.00064872403676119461
3.1415926215748211,4.9999999999999998e-08,11,3.2014972006777498e-08
3.1415925815748214,2.9999999999999997e-08,11,7.2014971763678659e-08
